Food,Calories,Protein,Fat,Carbs,Fiber
cottage cheese,98.4,10.6,4.4,3.3,0.0
falafel,333.1,13.6,18.6,31.6,5.8
pide,281.6,10.6,9.1,40.2,2.1
sandwich,259.4,12.2,9.4,32.8,2.1
bread,272.8,8.7,3.3,49.0,2.6
soup,74.4,3.9,2.0,10.1,1.6
doner kebab,246.9,20.4,12.3,17.8,1.5
onion,40.7,1.1,0.1,9.2,1.7
shawarma,237.2,18.0,11.0,16.1,1.2
pasta,230.4,7.9,5.1,38.7,2.5
beef pulao,204.8,13.7,6.8,25.5,0.8
dal makhani,185.4,9.3,8.3,19.0,4.8
tomato,18.9,0.9,0.2,4.0,1.2
naan,314.4,9.1,6.0,59.5,1.9
kofte,236.6,19.5,16.5,5.2,0.5
tomato,18.6,0.9,0.2,4.1,1.2
whole wheat bread,248.1,12.8,4.2,41.5,6.9
white rice,132.1,2.6,0.3,27.6,0.4
apple,50.4,0.3,0.2,14.2,2.3
seekh kebab,229.7,18.4,15.6,1.9,0.5
pulao,184.2,6.1,4.8,27.6,0.8
chai,42.0,1.5,2.0,4.6,0.0
naan,328.5,9.0,5.7,59.8,2.1
halwa puri,369.4,5.7,18.6,50.0,1.5
white rice,124.6,2.7,0.3,29.0,0.4
black tea,2.0,0.0,0.0,0.4,0.0
orange,48.7,0.9,0.1,12.2,2.3
broccoli,33.8,2.7,0.4,6.9,2.7
nihari,186.7,14.3,10.5,4.1,0.5
beef tacos,224.2,11.5,11.1,19.2,3.1
jalebi,371.0,2.1,10.0,68.9,0.3
turkish bread,281.4,8.9,3.6,50.7,2.1
pancakes,222.1,5.8,7.3,36.6,1.6
avocado toast,248.4,5.8,15.7,22.2,6.3
mutton,300.6,24.5,21.1,0.0,0.0
paratha,311.3,7.3,14.5,42.8,2.2
falafel,317.9,12.4,17.2,32.8,5.8
carrot,39.2,0.9,0.2,10.0,2.8
honey,293.8,0.3,0.0,83.8,0.2
pide,280.2,10.5,8.9,41.2,2.1
butter chicken,241.3,21.7,13.7,6.1,0.5
roti,260.9,8.4,3.7,55.5,2.8
falafel,343.3,13.3,18.0,31.0,6.3
oatmeal,153.7,6.1,3.1,27.6,4.2
raita,62.7,3.1,3.6,4.5,0.0
oatmeal,161.1,6.3,3.2,26.5,4.0
chana masala,169.2,9.2,2.7,26.6,7.7
baklava,334.9,5.1,18.6,39.7,1.4
nihari,175.2,15.4,10.5,4.1,0.5
beef pulao,201.4,14.0,6.9,26.0,0.8
grilled salmon,215.6,20.4,13.1,0.0,0.0
apple,52.1,0.3,0.2,13.7,2.3
bread,261.5,9.1,3.2,51.2,2.6
mutton biryani,222.5,16.7,10.5,28.0,0.8
aloo paratha,322.0,7.3,13.6,44.6,2.3
baklava,346.7,5.2,17.4,41.1,1.5
palak paneer,224.0,12.2,14.3,7.8,3.1
apple,53.3,0.3,0.2,14.2,2.4
pasta,213.0,7.7,4.9,36.4,2.6
mixed vegetables,55.5,2.4,0.5,9.7,3.3
watermelon,29.5,0.6,0.2,7.5,0.4
cottage cheese,100.1,11.0,4.4,3.6,0.0
sandwich,262.3,12.4,9.0,31.9,1.9
mango,59.3,0.8,0.4,14.9,1.6
brown rice,107.4,2.6,0.9,22.5,1.9
seekh kebab,219.8,19.3,14.4,2.0,0.5
white rice,132.6,2.7,0.3,28.9,0.4
chana masala,162.1,8.7,2.7,26.6,7.8
pulao,178.0,5.7,5.1,28.2,0.8
french fries,312.6,3.3,14.9,41.7,3.8
ayran,52.8,3.1,2.6,5.1,0.0
mutton biryani,240.7,15.3,10.2,26.8,0.8
steak,261.8,26.6,17.4,0.0,0.0
carrot,41.3,0.9,0.2,10.1,2.7
mac and cheese,317.5,12.3,13.6,39.6,1.4
honey,302.6,0.3,0.0,86.0,0.2
caesar salad,191.8,7.0,14.0,10.9,2.0
green tea,1.9,0.0,0.0,0.5,0.0
shawarma,230.9,17.5,10.6,16.5,1.2
broccoli,32.8,2.8,0.4,6.8,2.6
apple,50.5,0.3,0.2,13.7,2.5
carrot,40.9,0.9,0.2,9.7,2.9
paratha,319.1,7.4,14.1,43.7,2.1
pasta,222.2,8.3,5.1,36.6,2.4
potato,79.0,2.0,0.1,16.4,2.1
sandwich,247.9,12.6,8.8,31.5,2.0
brown rice,117.1,2.6,0.9,24.3,1.8
biryani,198.5,9.2,6.9,28.6,0.8
steak,271.7,26.9,17.1,0.0,0.0
orange juice,114.4,1.7,0.5,25.3,0.5
chicken karahi,216.2,20.0,12.5,2.9,0.5
qorma,254.9,17.2,16.7,7.7,0.5
mixed vegetables,55.6,2.5,0.5,10.4,3.4
pide,290.4,11.5,8.8,43.5,1.9
halwa,334.5,3.0,13.5,48.0,1.0
protein shake,165.9,29.3,3.0,7.8,1.0
dahi,58.9,3.3,3.3,4.8,0.0
mac and cheese,310.0,12.5,12.6,39.2,1.5
falafel,318.0,12.9,17.7,32.4,5.8
grilled chicken,167.1,30.9,3.7,0.0,0.0
daal,117.7,8.3,0.4,19.1,7.6
saag,60.9,3.6,2.9,5.8,2.5
kheer,147.3,4.2,4.9,21.6,0.2
brown rice,107.2,2.5,0.9,24.2,1.9
onion,41.2,1.1,0.1,9.4,1.8
dahi,60.8,3.4,3.2,4.6,0.0
chicken karahi,219.9,20.3,12.9,3.1,0.5
dates,269.7,1.9,0.2,76.8,6.7
pulao,176.3,5.7,5.0,27.2,0.8
kofte,243.6,19.3,16.1,4.8,0.5
paratha,333.5,7.4,14.1,43.0,2.1
daal,111.3,8.4,0.4,20.2,8.3
peanut butter toast,260.2,9.6,13.9,25.7,2.9
nihari,186.5,14.8,10.8,4.1,0.5
spinach,24.1,2.8,0.4,3.8,2.1
palak paneer,230.8,11.6,15.2,8.1,3.0
cereal,153.6,2.9,1.9,29.8,2.5
lentil soup,131.9,7.6,2.4,19.2,4.8
pasta,222.0,8.1,5.1,39.2,2.5
doner kebab,237.5,19.1,12.0,18.6,1.6
palak paneer,216.8,12.0,14.9,8.3,3.1
greek yogurt,100.1,17.0,0.7,5.9,0.0
samosa,270.7,5.2,13.4,32.1,2.1
oatmeal,159.9,6.2,3.2,27.2,3.8
steak,259.3,27.2,17.7,0.0,0.0
halwa,331.5,3.0,13.8,48.9,1.0
bread,258.2,9.1,3.1,49.4,2.6
aloo paratha,332.4,7.3,13.3,47.0,2.4
aloo paratha,304.7,7.1,13.4,45.6,2.3
milk,59.2,3.3,3.3,5.0,0.0
kheer,143.7,3.9,4.9,22.7,0.2
onion,40.2,1.0,0.1,9.2,1.7
sandwich,256.1,11.6,9.4,33.5,2.1
bread,253.3,8.7,3.1,46.9,2.7
milk,59.6,3.1,3.3,4.7,0.0
orange,49.2,0.9,0.1,12.5,2.4
lentils,110.9,9.0,0.4,19.1,8.3
oatmeal,155.3,6.1,3.1,26.1,4.2
carrot,42.7,0.9,0.2,9.5,2.8
steak,270.6,25.1,17.6,0.0,0.0
green tea,2.0,0.0,0.0,0.5,0.0
pulao,177.2,6.2,4.9,27.1,0.8
greek yogurt,98.3,16.2,0.7,6.2,0.0
green tea,2.1,0.0,0.0,0.5,0.0
onion,40.0,1.1,0.1,9.1,1.6
fish,135.6,19.9,6.1,0.0,0.0
greek yogurt,95.1,17.5,0.7,5.9,0.0
shami kebab,219.1,15.9,14.0,7.0,1.0
chicken breast,157.6,29.9,3.7,0.0,0.0
roti,256.9,7.7,3.6,53.7,2.7
omelette,148.2,10.7,11.3,1.6,0.0
chapli kebab,282.8,17.1,19.5,5.2,0.5
bread,271.7,9.3,3.3,47.6,2.8
banana,93.4,1.1,0.3,22.6,2.7
daal,121.8,8.1,0.4,19.1,8.1
orange,44.7,0.9,0.1,12.4,2.4
cereal,155.9,3.0,2.0,30.4,2.5
aloo paratha,314.2,6.9,13.6,44.3,2.4
raita,60.6,3.1,3.4,4.6,0.0
kidney beans,121.8,8.8,0.5,21.9,6.1
omelette,160.5,10.8,10.5,1.6,0.0
french fries,305.5,3.4,15.0,42.0,3.6
lentil soup,131.7,7.6,2.6,20.9,4.8
jalebi,386.7,2.0,10.3,71.2,0.3
dahi,61.9,3.7,3.0,4.8,0.0
mac and cheese,329.9,12.4,12.6,40.8,1.5
black tea,2.0,0.0,0.0,0.4,0.0
lentil soup,125.7,7.6,2.4,19.1,4.8
orange juice,113.7,1.7,0.5,25.6,0.5
chapli kebab,268.9,18.0,20.3,5.2,0.5
chicken tikka,193.7,24.4,8.6,2.0,0.3
samosa,271.0,4.9,14.4,31.2,2.3
orange,47.1,0.9,0.1,11.9,2.5
turkish bread,277.0,8.7,3.5,52.8,2.0
grilled chicken,157.1,30.5,3.6,0.0,0.0
roti,256.6,8.0,3.5,51.4,2.7
egg,152.0,13.3,11.4,1.1,0.0
dates,274.8,1.8,0.2,77.8,6.8
samosa,249.4,5.2,14.5,31.2,2.2
halwa puri,397.9,6.0,18.7,49.6,1.5
butter chicken,244.1,20.9,14.4,6.0,0.5
onion,39.1,1.1,0.1,9.6,1.7
peanuts,574.7,26.9,51.3,15.6,8.1
biryani,191.7,9.2,7.0,28.7,0.8
daal,115.3,8.3,0.4,19.6,8.0
chicken breast,158.9,30.1,3.6,0.0,0.0
beef tacos,227.1,12.0,10.8,20.3,3.1
mac and cheese,335.1,12.5,13.3,41.6,1.5
spinach,23.9,2.8,0.4,3.8,2.1
white rice,131.2,2.6,0.3,26.9,0.4
oatmeal,155.8,6.2,3.3,26.3,3.9
greek yogurt,95.7,16.4,0.7,6.2,0.0
kofte,240.9,19.3,16.3,4.9,0.5
pancakes,228.2,6.1,7.0,34.5,1.5
baklava,331.6,4.9,17.5,40.7,1.5
apple,52.4,0.3,0.2,14.4,2.4
lentil soup,135.0,8.3,2.4,20.6,5.1
chicken karahi,212.4,19.5,13.5,2.9,0.5
chicken biryani,213.8,14.6,7.9,26.1,0.9
orange juice,113.7,1.7,0.5,24.7,0.5
shami kebab,201.5,16.5,13.3,6.7,1.0
mutton,306.7,24.0,20.6,0.0,0.0
honey,306.9,0.3,0.0,79.0,0.2
cereal,154.1,3.0,2.0,28.9,2.4
roti,260.6,7.8,3.6,55.3,2.7
paye,178.3,16.5,12.5,2.0,0.0
pulao,187.5,5.9,4.9,28.6,0.8
grilled chicken,171.6,30.3,3.7,0.0,0.0
potato,80.5,1.9,0.1,17.3,2.1
caesar salad,185.5,7.3,13.4,10.9,1.9
watermelon,31.0,0.6,0.2,7.4,0.4
aloo gosht,183.1,12.8,10.1,9.4,1.2
chicken breast,164.1,32.3,3.7,0.0,0.0
paye,176.3,17.3,11.6,1.9,0.0
orange juice,108.6,1.8,0.5,27.3,0.5
green tea,1.9,0.0,0.0,0.5,0.0
aloo gosht,182.2,12.8,9.9,9.2,1.2
oatmeal,155.9,5.7,3.2,27.5,3.8
biryani,206.4,9.4,6.7,26.7,0.8
soup,72.6,3.9,1.9,9.8,1.5
milk,61.5,3.1,3.4,4.8,0.0
caesar salad,184.1,6.8,13.5,10.8,2.1
kheer,144.6,3.9,5.0,21.0,0.2
mutton biryani,227.4,15.8,9.8,26.7,0.8
burger,303.6,16.7,14.0,24.6,1.5
boiled eggs,153.7,12.6,11.5,1.2,0.0
doner kebab,240.4,19.7,12.4,18.8,1.5
naan,324.3,9.2,6.3,54.7,2.0
onion,41.0,1.2,0.1,9.5,1.7
roti,267.7,7.6,3.6,51.5,2.8
mutton,293.5,25.0,20.3,0.0,0.0
egg,152.4,12.5,10.5,1.1,0.0
mac and cheese,330.6,12.4,12.5,41.1,1.5
baklava,330.0,5.0,17.8,38.8,1.5
doner kebab,251.5,20.7,12.4,17.5,1.4
shami kebab,218.5,16.4,13.4,6.8,1.0
dates,281.4,1.8,0.2,77.4,6.6
fish,135.4,19.1,6.0,0.0,0.0
banana,89.9,1.1,0.3,22.2,2.5
whole wheat bread,242.4,12.4,4.1,42.1,6.8
boiled eggs,148.2,13.3,10.5,1.1,0.0
soup,73.7,4.0,2.1,9.5,1.5
honey,302.5,0.3,0.0,85.4,0.2
mango,61.3,0.8,0.4,15.3,1.6
sweet potato,87.4,1.6,0.1,20.6,3.0
butter chicken,235.7,22.3,14.7,5.8,0.5
halwa puri,393.4,6.1,18.5,49.1,1.5
shawarma,222.8,18.6,10.5,16.1,1.2
french fries,305.9,3.5,15.6,39.0,3.7
egg,157.3,13.6,11.3,1.1,0.0
chana,156.5,9.2,2.5,26.9,7.5
lentil soup,130.3,7.8,2.4,20.4,5.0
mixed vegetables,56.9,2.6,0.5,10.3,3.4
grilled salmon,212.4,20.7,12.5,0.0,0.0
tomato,17.6,0.9,0.2,3.7,1.2
orange juice,111.9,1.7,0.5,26.7,0.5
whole wheat bread,237.3,12.9,4.3,41.7,7.3
chicken breast,170.4,30.9,3.7,0.0,0.0
bread,268.4,8.7,3.1,46.8,2.6
greek yogurt,97.0,16.4,0.7,6.1,0.0
chicken biryani,218.0,14.3,7.8,26.5,0.9
peanut butter toast,261.9,9.8,13.9,25.4,2.9
chana,158.7,9.2,2.7,28.2,7.3
butter chicken,231.5,22.3,14.1,6.1,0.5
grilled salmon,217.2,19.7,13.6,0.0,0.0
brown rice,116.8,2.6,0.9,23.3,1.7
bread,253.8,9.2,3.3,46.9,2.8
watermelon,29.0,0.6,0.2,7.8,0.4
pancakes,230.1,6.0,7.1,33.9,1.5
paye,190.6,17.5,12.6,2.1,0.0
watermelon,30.6,0.6,0.2,8.0,0.4
potato,75.3,2.0,0.1,17.5,2.3
chickpeas,167.8,9.1,2.5,26.6,7.9
french fries,309.4,3.5,14.6,42.3,3.7
honey,293.2,0.3,0.0,80.6,0.2
halwa puri,389.2,6.3,17.9,49.2,1.4
kofte,244.8,19.1,16.2,5.1,0.5
green tea,2.0,0.0,0.0,0.5,0.0
pancakes,222.8,6.3,7.0,36.5,1.5
orange juice,106.5,1.8,0.5,26.0,0.5
seekh kebab,227.5,18.3,14.8,2.0,0.5
mutton,297.2,24.5,21.1,0.0,0.0
chai,39.0,1.4,2.0,4.6,0.0
french fries,315.4,3.5,15.7,42.3,3.6
lentil soup,126.4,8.3,2.5,20.8,5.2
chicken biryani,205.9,14.7,8.2,26.7,0.9
orange,48.1,0.9,0.1,12.3,2.4
mutton,299.7,24.4,21.1,0.0,0.0
orange,45.9,0.9,0.1,11.6,2.4
dates,286.4,1.9,0.2,77.1,6.9
chapli kebab,293.1,18.3,19.8,4.9,0.5
ayran,54.0,2.9,2.6,4.9,0.0
qorma,248.4,18.2,16.6,7.7,0.5
steak,282.0,26.1,17.5,0.0,0.0
peanuts,579.3,25.5,50.3,16.1,8.3
shami kebab,205.6,15.7,13.5,6.8,1.0
honey,300.2,0.3,0.0,78.9,0.2
beef pulao,212.2,14.5,7.2,25.0,0.8
onion,38.7,1.1,0.1,9.1,1.8
chicken wings,276.2,26.6,18.9,0.0,0.0
potato,75.7,1.9,0.1,17.6,2.2
chana masala,157.5,9.3,2.6,27.3,7.5
soup,72.4,3.9,2.1,10.1,1.5
greek yogurt,101.6,16.3,0.7,6.2,0.0
white rice,134.0,2.7,0.3,28.0,0.4
peanut butter toast,258.6,9.8,14.1,26.0,3.1
paneer,270.2,18.6,20.0,1.3,0.0
tomato,18.1,0.9,0.2,3.7,1.2
boiled eggs,149.4,13.1,11.4,1.1,0.0
burger,298.8,16.7,13.4,23.2,1.5
omelette,160.7,10.9,10.7,1.5,0.0
dahi,58.1,3.6,3.1,4.5,0.0
omelette,160.7,11.0,11.1,1.7,0.0
banana,86.3,1.1,0.3,23.8,2.5
lassi,67.5,3.4,3.5,6.7,0.0
nihari,182.5,14.9,10.7,4.1,0.5
naan,319.7,9.0,6.2,55.0,2.1
soup,71.9,4.1,1.9,10.4,1.5
jalebi,379.6,1.9,9.8,67.7,0.3
bread,276.9,8.9,3.1,49.0,2.8
grilled salmon,209.6,19.1,13.1,0.0,0.0
shami kebab,219.5,15.6,13.9,7.2,1.0
egg,160.6,12.5,11.0,1.1,0.0
pancakes,229.6,5.9,7.1,33.3,1.5
onion,40.6,1.1,0.1,9.4,1.7
palak paneer,227.0,11.5,15.4,8.2,2.9
apple,52.8,0.3,0.2,14.4,2.4
dahi,62.4,3.5,3.2,4.9,0.0
sweet potato,82.0,1.7,0.1,19.6,3.1
baklava,344.1,5.0,18.6,39.4,1.6
chana masala,169.0,9.1,2.7,26.3,7.8
carrot,41.0,0.9,0.2,9.7,2.7
mango,57.6,0.8,0.4,15.6,1.6
egg,151.6,13.5,11.4,1.1,0.0
daal,118.0,8.3,0.4,20.4,7.7
grilled chicken,164.6,30.1,3.7,0.0,0.0
cereal,155.0,2.9,2.0,29.6,2.6
pizza slice,276.1,10.6,9.8,33.1,2.2
pasta,218.6,8.1,5.1,36.8,2.5
grilled salmon,200.2,19.6,13.3,0.0,0.0
lentils,118.7,9.1,0.4,19.7,8.1
cottage cheese,98.9,10.6,4.3,3.5,0.0
peanut butter toast,263.1,9.8,14.1,25.9,2.9
onion,38.3,1.1,0.1,9.3,1.6
watermelon,31.0,0.6,0.2,7.8,0.4
baklava,324.3,4.9,17.9,39.1,1.6
potato,73.6,1.9,0.1,16.9,2.1
potato,77.6,2.1,0.1,16.4,2.2
banana,84.9,1.1,0.3,22.4,2.6
spinach,22.7,2.8,0.4,3.7,2.1
jalebi,384.2,2.0,9.8,70.3,0.3
sweet potato,82.9,1.6,0.1,19.3,3.0
falafel,325.3,12.7,17.7,31.7,5.9
paneer,270.2,18.0,21.0,1.2,0.0
watermelon,28.6,0.6,0.2,7.2,0.4
beef tacos,224.1,11.9,10.5,19.9,3.0
chicken wings,284.9,28.1,18.1,0.0,0.0
brown rice,113.5,2.7,0.9,22.9,1.8
burger,301.6,16.4,13.5,24.6,1.6
onion,41.8,1.1,0.1,9.0,1.7
cottage cheese,97.1,10.7,4.1,3.5,0.0
pide,292.5,11.1,9.0,42.2,2.1
kofte,251.5,18.1,16.3,4.9,0.5
pancakes,216.5,5.7,7.3,33.6,1.5
chickpeas,157.6,8.7,2.7,26.7,7.8
cottage cheese,98.2,11.6,4.2,3.4,0.0
raita,59.8,3.1,3.6,4.4,0.0
dates,284.2,1.9,0.2,75.2,6.5
milk,61.5,3.3,3.3,4.6,0.0
black tea,2.0,0.0,0.0,0.4,0.0
watermelon,28.5,0.6,0.2,7.9,0.4
onion,38.3,1.1,0.1,8.9,1.7
carrot,42.4,0.9,0.2,9.5,2.7
kofte,251.5,18.9,15.6,5.0,0.5
broccoli,33.7,2.8,0.4,6.9,2.5
lentils,120.1,8.8,0.4,19.6,8.2
sandwich,260.9,12.3,9.0,32.8,2.0
chicken breast,168.7,31.8,3.7,0.0,0.0
grilled chicken,163.6,32.0,3.7,0.0,0.0
protein shake,162.6,28.7,2.9,8.0,1.0
bread,274.5,8.7,3.1,47.2,2.6
shami kebab,213.9,16.5,14.0,6.9,1.0
brown rice,110.7,2.7,0.9,23.5,1.8
halwa puri,395.2,5.7,18.6,46.3,1.4
dal makhani,186.7,9.0,8.3,20.6,4.8
chicken wings,294.9,26.9,18.4,0.0,0.0
apple,51.2,0.3,0.2,13.8,2.4
roti,265.2,7.8,3.7,54.6,2.6
paye,176.8,17.8,12.0,2.1,0.0
pide,288.8,11.5,9.4,43.4,2.1
omelette,157.9,10.9,10.7,1.7,0.0
nihari,182.9,15.5,11.1,4.2,0.5
omelette,160.2,11.2,10.7,1.6,0.0
nihari,183.2,14.5,10.9,3.9,0.5
beef pulao,206.1,14.6,7.3,26.2,0.8
egg,158.6,12.8,11.5,1.1,0.0
green tea,2.1,0.0,0.0,0.5,0.0
pizza slice,278.0,11.4,9.7,31.6,2.4
honey,317.3,0.3,0.0,86.3,0.2
mixed vegetables,53.5,2.5,0.5,9.8,3.5
halwa puri,392.3,6.0,18.6,49.2,1.5
chana,159.6,8.8,2.7,28.0,7.9
milk,59.7,3.2,3.2,5.0,0.0
white rice,134.7,2.7,0.3,27.0,0.4
french fries,297.9,3.2,15.6,40.4,3.7
banana,88.8,1.1,0.3,22.6,2.6
banana,90.1,1.1,0.3,23.3,2.5
biryani,198.2,9.0,6.9,27.2,0.8
grilled salmon,214.6,20.0,12.5,0.0,0.0
naan,331.9,9.4,6.2,55.1,2.0
mutton biryani,232.7,15.5,10.4,26.7,0.8
aloo paratha,326.8,6.9,12.5,48.2,2.3
chickpeas,166.1,9.3,2.5,28.7,7.5
white rice,126.4,2.8,0.3,27.4,0.4
tomato,18.6,0.9,0.2,3.9,1.2
mango,59.8,0.8,0.4,14.3,1.6
pulao,188.9,6.1,5.1,26.7,0.8
black tea,2.0,0.0,0.0,0.4,0.0
egg,155.5,12.5,10.9,1.1,0.0
pancakes,232.7,5.7,6.7,35.2,1.5
saag,57.8,3.4,2.9,5.9,2.4
black tea,2.0,0.0,0.0,0.4,0.0
protein shake,160.8,31.5,2.9,7.7,1.0
orange,49.0,0.9,0.1,11.9,2.4
naan,330.8,9.1,6.0,58.6,2.1
shami kebab,206.9,15.9,14.4,6.7,1.0
raita,58.5,2.9,3.6,4.7,0.0
roti,265.4,8.3,3.7,54.9,2.7
mutton biryani,232.6,15.8,10.5,26.9,0.8
halwa puri,364.8,6.1,18.1,50.3,1.5
boiled eggs,162.5,13.4,10.5,1.1,0.0
peanut butter toast,258.6,10.3,13.7,25.0,2.9
caesar salad,184.4,6.7,14.7,10.5,1.9
sandwich,249.9,11.7,9.2,34.6,2.0
almonds,586.6,20.6,48.5,21.4,12.3
cereal,155.2,3.0,2.0,29.5,2.4
almonds,589.8,20.3,51.7,21.0,13.0
cottage cheese,100.9,11.0,4.4,3.5,0.0
avocado toast,245.4,5.9,15.3,21.4,5.8
dal makhani,183.0,8.8,8.0,19.2,5.2
carrot,39.2,0.9,0.2,10.3,2.7
black tea,1.9,0.0,0.0,0.4,0.0
paye,176.0,17.6,12.6,1.9,0.0
chicken breast,166.5,30.9,3.6,0.0,0.0
biryani,209.1,8.9,7.2,28.1,0.8
protein shake,158.3,28.7,3.1,8.1,1.0
fish,141.3,20.8,6.1,0.0,0.0
tomato,18.1,0.9,0.2,3.7,1.2
chicken tikka,189.0,25.6,9.4,1.9,0.3
soup,74.0,4.0,2.0,10.0,1.5
halwa,308.1,3.1,13.6,49.0,1.0
pizza slice,262.8,10.9,9.7,34.5,2.4
pulao,183.1,6.0,5.2,29.0,0.8
mutton biryani,236.0,16.5,9.7,27.3,0.8
potato,75.7,1.9,0.1,16.7,2.3
jalebi,366.1,1.9,9.8,65.8,0.3
oatmeal,162.6,5.7,3.1,25.7,3.9
daal,121.5,8.0,0.4,19.2,7.7
seekh kebab,213.9,19.2,14.5,2.0,0.5
halwa puri,388.5,6.3,18.8,49.5,1.5
white rice,134.4,2.7,0.3,29.1,0.4
egg,150.3,12.6,11.3,1.1,0.0
saag,63.0,3.7,2.9,6.3,2.4
seekh kebab,213.5,18.4,15.3,2.0,0.5
chicken wings,281.7,27.2,19.9,0.0,0.0
potato,78.2,2.1,0.1,17.5,2.3
chicken biryani,209.8,13.6,7.9,27.2,0.9
dal makhani,176.4,8.9,7.7,21.0,5.1
watermelon,29.7,0.6,0.2,7.7,0.4
lentil soup,130.8,8.0,2.4,19.7,4.8
chicken breast,159.2,32.1,3.5,0.0,0.0
french fries,324.6,3.2,15.2,41.9,3.9
potato,73.2,2.1,0.1,17.0,2.3
carrot,39.4,0.9,0.2,10.4,2.9
bread,261.2,8.9,3.1,47.7,2.6
burger,308.9,17.6,14.4,24.8,1.5
fish,139.9,19.9,6.2,0.0,0.0
doner kebab,246.9,21.0,11.8,18.6,1.5
paratha,312.2,7.3,13.7,42.2,2.1
samosa,254.4,4.8,13.7,30.5,2.1
orange juice,112.1,1.6,0.5,24.8,0.5
banana,86.3,1.1,0.3,22.4,2.5
pide,281.1,11.3,9.1,41.8,1.9
hummus,179.5,8.3,9.5,15.9,6.1
steak,278.2,25.4,17.7,0.0,0.0
grilled salmon,208.9,20.9,13.5,0.0,0.0
chicken wings,288.4,26.4,18.4,0.0,0.0
dates,278.8,1.8,0.2,77.9,6.7
roti,272.1,8.2,3.6,51.2,2.8
aloo gosht,168.7,13.2,10.1,8.8,1.2
orange juice,109.0,1.8,0.5,26.6,0.5
dates,275.1,1.8,0.2,71.7,6.8
chicken tikka,188.7,24.9,8.7,1.9,0.3
steak,265.3,24.9,18.8,0.0,0.0
baklava,326.2,4.9,18.5,39.3,1.6
lassi,66.9,3.5,3.4,6.5,0.0
paneer,271.9,18.7,21.7,1.2,0.0
aloo gosht,178.0,13.6,10.1,9.3,1.2
kheer,156.0,4.0,4.8,22.9,0.2
shawarma,236.8,17.4,11.0,16.2,1.2
sandwich,254.6,11.6,8.7,33.2,2.0
oatmeal,164.9,6.1,3.3,25.8,4.2
pancakes,222.9,6.2,7.1,36.3,1.4
mutton biryani,226.4,16.7,10.4,26.6,0.8
beef tacos,215.7,12.5,11.5,19.9,3.1
aloo gosht,176.0,12.6,10.5,8.8,1.2
chana masala,163.3,9.3,2.5,27.8,7.4
onion,41.2,1.1,0.1,9.7,1.6
pancakes,219.2,6.0,7.3,34.1,1.5
white rice,124.1,2.7,0.3,28.8,0.4
naan,305.2,8.8,6.2,58.7,2.1
fish,133.6,19.4,5.9,0.0,0.0
potato,75.0,1.9,0.1,16.3,2.2
pasta,215.7,7.7,4.8,36.5,2.4
pizza slice,263.8,10.5,10.3,33.6,2.4
samosa,253.0,5.1,14.2,30.3,2.2
chai,41.6,1.6,2.0,4.7,0.0
halwa puri,363.3,6.0,17.8,48.9,1.5
doner kebab,240.9,20.1,12.3,17.3,1.5
chicken wings,297.9,27.2,18.6,0.0,0.0
jalebi,379.6,1.9,9.5,69.8,0.3
pide,291.9,10.7,8.8,43.0,2.0
lentils,110.6,9.4,0.4,20.5,8.0
chicken karahi,218.0,20.3,13.0,3.0,0.5
peanuts,566.5,26.7,47.4,16.6,8.7
bread,271.8,8.6,3.1,50.4,2.7
kheer,155.9,4.0,5.1,21.1,0.2
pizza slice,272.2,11.5,10.1,32.0,2.2
butter chicken,249.6,21.3,13.6,6.0,0.5
caesar salad,185.6,6.7,13.4,10.7,2.0
shami kebab,213.8,16.6,13.6,7.0,1.0
chana,163.4,9.0,2.6,27.7,7.4
carrot,41.3,0.9,0.2,10.4,2.9
dates,281.5,1.7,0.2,75.5,6.6
mutton biryani,220.1,15.6,10.0,27.2,0.8
whole wheat bread,247.3,12.7,4.1,40.5,7.2
kofte,243.5,18.1,16.0,5.1,0.5
spinach,22.3,3.0,0.4,3.6,2.1
bread,259.3,9.1,3.1,51.3,2.7
sweet potato,82.6,1.6,0.1,19.4,2.9
nihari,177.3,15.2,11.1,4.1,0.5
shawarma,221.3,17.3,10.7,15.5,1.2
paratha,327.3,7.7,14.3,43.7,2.1
carrot,39.1,0.9,0.2,10.3,2.8
sweet potato,85.0,1.6,0.1,20.5,3.1
chicken wings,275.7,26.5,18.2,0.0,0.0
chai,38.4,1.6,2.0,4.3,0.0
french fries,320.6,3.5,15.7,39.4,3.6
apple,53.8,0.3,0.2,14.3,2.3
paye,191.0,17.3,11.4,2.1,0.0
halwa puri,381.2,6.0,18.2,46.1,1.5
chicken breast,158.8,29.8,3.6,0.0,0.0
green tea,1.9,0.0,0.0,0.5,0.0
omelette,148.5,11.1,10.8,1.6,0.0
tomato,17.6,0.9,0.2,4.0,1.2
green tea,2.1,0.0,0.0,0.5,0.0
orange juice,115.3,1.7,0.5,26.1,0.5
baklava,345.2,4.9,17.9,41.0,1.5
chickpeas,165.2,9.0,2.7,28.3,7.2
kofte,240.2,18.3,15.7,4.9,0.5
shami kebab,207.7,16.7,14.2,6.7,1.0
green tea,1.9,0.0,0.0,0.5,0.0
chicken karahi,203.0,19.6,13.3,3.0,0.5
boiled eggs,160.3,12.4,11.3,1.1,0.0
lentil soup,131.4,7.7,2.4,19.5,5.2
lentils,118.1,8.6,0.4,20.3,8.3
